SubDiv,Year,Annual,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan-Feb,Mar-May,Jun-Sept,Oct-Dec
ASSAM,2003,2434.1,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250,231.8,13,18.6,51,546.5,1573.3,263.4
ASSAM,2004,2994.3,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,34.8,755.9,1849.7,353.9
ASSAM,2005,2468.3,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,53.3,660.9,1525.2,228.9
ASSAM,2006,1898.6,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,41.5,515.5,1208.1,133.5
ASSAM,2007,2752.8,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4,75.2,486.1,1975.1,216.4
ASSAM,2008,2339.7,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,44.2,474.4,1683.9,137.2
ASSAM,2009,2068.2,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4,19.5,426.2,1473.5,149
ASSAM,2010,2711.5,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387,318.3,116.2,11.6,7.6,3.7,882.3,1690.2,135.3
ASSAM,2011,1743.4,11.1,11.4,109,92.1,238.3,316,395.8,302.6,221.6,30.2,11.9,3.5,22.5,439.4,1236,45.6
ASSAM,2012,2609.4,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,22.1,493.7,1874.8,218.8
ASSAM,2013,1816.4,1.1,9.6,44,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1,2,10.7,503.5,1172.9,129.3
ASSAM,2014,2206.1,2,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35,3,0.4,30.3,431.9,1705.5,38.5
ASSAM,2015,2470.9,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14,15.2,28.9,620.9,1729.3,91.8
ORISSA,1990,1905,0.4,50,89.8,57.3,178.1,237.2,282.9,371.4,260.7,245.6,130.7,1,50.3,325.2,1152.3,377.2
ORISSA,1991,1472.8,20,2.8,21.8,29.6,36.2,149.5,458.5,439,181.5,93.5,32.9,7.3,22.8,87.7,1228.6,133.7
ORISSA,1992,1329.5,6.1,16.9,1.7,16.1,66,177.2,394.9,385.1,191.8,63.7,9.9,0,23,83.8,1149.1,73.6
ORISSA,1993,1448,0,1.3,11.4,56.1,82.2,257.5,328.5,327,287.9,88.7,7.5,0,1.3,149.6,1200.9,96.2
ORISSA,1994,1744.6,4.1,28.6,6.2,48.1,46.3,299.4,474,463.9,292.6,69.1,12.3,0.1,32.6,100.6,1529.9,81.5
ORISSA,1995,1614,50.1,17.6,21.1,23.6,293,112.3,322.6,316.6,202.7,149.7,103.4,1.3,67.7,337.7,954.3,254.3
ORISSA,1996,1061.8,14.6,10.1,11.7,28.1,28.6,211.9,264.8,319.4,113.2,49.9,8.4,0.9,24.8,68.4,909.3,59.3
ORISSA,1997,1504.5,17.9,5.3,31.9,77.8,33,197.6,303.4,479.9,234.6,37,27.4,58.8,23.2,142.7,1215.5,123.2
ORISSA,1998,1357.1,31.5,28.3,52.4,43.4,53.4,176.4,277.6,203.5,277.3,139.6,73.8,0,59.8,149.1,934.8,213.4
ORISSA,1999,1484.3,0.1,0.7,0.9,3.2,164.8,222.9,270.2,325.9,266.4,215.4,13.9,0,0.8,168.9,1085.3,229.3
ORISSA,2000,1097.2,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158,26.6,1.6,0.1,34.2,97,937.6,28.3
ORISSA,2001,1672.5,0.4,1.4,32.3,28.7,71,336.1,584.2,380.9,132,86.8,18.7,0,1.8,132,1433.2,105.6
